Identifier,Surname,given_name,middle_initial,suffix,Primary_street_number,primary_street_name,city,state,zipcode,Primary_street_number_prev,primary_street_name_prev,city_prev,state_prev,zipcode_prev,Email,Phone,birthmonth,hash_key
1,Kattubadi,Sreenivasulu,,,9/566,Satya sai nagar,Banglore,KA,560045,23/566,Bala nagar,Anantapur,AP,515671,Kattubadi@gmail.com,8765656553,199801,abcd
2,Hari,Prasad,,,9/567,Shanti nagar,Banglore,KA,560045,23/567,Bala nagar,Anantapur,AP,515672,Kattubadi@gmail.com,8765656554,199502,defg
3,Kattubadi,Ram,,,9/568,Tirumala nagar,Banglore,KA,560045,23/568,Bala nagar,Anantapur,AP,515673,Kattubadi@gmail.com,8765656555,199203,abcde
4,Raheem,Ahammed,,,9/569,Madhapur,Banglore,KA,560045,23/569,Bala nagar,Anantapur,AP,515674,Kattubadi@gmail.com,8765656556,198904,defgi
5,mahesh,Kumar,,,9/570,Miyapur,Banglore,KA,560045,23/570,Bala nagar,Anantapur,AP,515675,Kattubadi@gmail.com,8765656557,198605,abcd2
6,Hari,Somanath,,,9/571,Somasekar nagar,Banglore,KA,560045,23/571,Bala nagar,Anantapur,AP,515676,Kattubadi@gmail.com,8765656558,198306,defgt
7,Kattubadi,Ramesh,,,9/572,Bola nagar,Banglore,KA,560045,23/572,Bala nagar,Anantapur,AP,515677,Kattubadi@gmail.com,8765656559,198007,abcdu
8,Ranganath,V,,,9/573,rr nagar,Banglore,KA,560045,23/573,Bala nagar,Anantapur,AP,515678,Kattubadi@gmail.com,8765656560,197708,defgi
9,Bhole,Hamad,,,9/574,SS nagar,Banglore,KA,560045,23/574,Bala nagar,Anantapur,AP,515679,Kattubadi@gmail.com,8765656561,197409,abcdk
23,Bhole,Hamad,,,9/574,SS nagar,Banglore,KA,560045,23/574,Bala nagar,Anantapur,AP,515679,Kattubadi@gmail.com,8765656561,197409,defgl
